Tara,C1,C2,C3,C4,C5,C6,C7
Cote d'Ivoire,-2.345108898506299,-0.4134469712051917,0.5605747142622399,-0.563527640650351,1.8236083771919926,0.5710284346207806,-0.27697776012819453
Croatia,1.888423488634893,-0.3687251618650537,1.4783032363827484,0.183716100208872,-0.0688995731375936,0.8707548990307786,0.004256695499894082
Cuba,1.4454549027669619,-1.1295524107802009,1.5038073447188167,1.0599366639446532,0.0308645618759836,-0.018254707987791382,-0.005112085221420373
Cyprus,2.0958398226345736,-0.9168848811462537,0.7853903838033867,0.8529507400189092,-0.24412910269720914,0.4880372774459615,-0.18644302101614113
Czech Republic,1.4992256379993478,-1.1747446777424253,-0.3241140976657346,0.45128658865154253,-0.010528961959119358,-0.2793244505792884,0.09247890916829687
Democratic People's Republic of Korea,0.3054927584112079,-0.06449005688522157,0.8559143951689564,-0.12190023873119275,-0.584676290189761,-0.13411928634764717,-0.07496891269587685
Democratic Republic of the Congo,-2.7885858572749394,0.7051087726804532,-0.0496817463801741,-0.230466845725608,-1.1349392007330117,0.32558677109427014,-0.06763578417317638
Denmark,2.2577188941466475,1.5591501399675074,-0.028396529851323335,0.5439499390071924,-0.5959241039883211,1.0897739085674116,0.09968116959286993
Djibouti,-1.813925813470211,-0.36830794817685664,-0.7697459103502202,1.7409648274911986,-1.2836320118320226,0.0002853865783087861,-0.3745696291192347
Dominica,2.640643726610686,0.8522039905998525,-1.1731103860837526,-0.15756588134964913,0.8853597068012665,2.775009543785888,-0.052123382054672186
Dominican Republic,0.6339456845220877,0.3681049442621767,0.3242984985996508,-1.0930020315052584,-0.1815577990525456,-0.07186004406996203,-0.07603499638434354
Ecuador,0.19968814151118824,1.8762370469885261,0.7147836245800409,0.07731125210620371,0.9895732188065892,0.14109669293919497,0.09043162822742554
Egypt,-0.033277626408114304,1.5867165591709,-0.21923182070106287,-0.5450023864248745,0.6367923843762139,-0.18418965366575224,0.002105628527528664
El Salvador,0.4045677393534557,-1.1684145724228385,-0.8786024267174396,0.48376831546944776,-0.6189449926494807,-0.3163684701826039,0.060713533438486095
Equatorial Guinea,-2.0695347057011464,-0.21825886779017303,-0.4476596877395154,0.19005499299822443,-0.34582109082090634,0.04006431731677659,0.32826601473649986
Eritrea,-1.4670501761273573,0.2383924781852741,0.01691150628204977,1.0920980554722428,0.5765118257127347,-0.4663926098919425,-0.24075993442864327
